Name	PassengerId	Survived	Pclass	Sex	Age	SibSp	Parch	Fare	Embarked
Braund, Mr. Owen Harris	1	0	3	male	22.0	1	0	7.25	S
Cumings, Mrs. John Bradley (Florence Briggs Thayer)	2	1	1	female	38.0	1	0	71.2833	C
Heikkinen, Miss. Laina	3	1	3	female	26.0	0	0	7.925	S
Futrelle, Mrs. Jacques Heath (Lily May Peel)	4	1	1	female	35.0	1	0	53.1	S
Allen, Mr. William Henry	5	0	3	male	35.0	0	0	8.05	S
Moran, Mr. James	6	0	3	male	29.69911764705882	0	0	8.4583	Q
McCarthy, Mr. Timothy J	7	0	1	male	54.0	0	0	51.8625	S
Palsson, Master. Gosta Leonard	8	0	3	male	2.0	3	1	21.075	S
Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)	9	1	3	female	27.0	0	2	11.1333	S
Nasser, Mrs. Nicholas (Adele Achem)	10	1	2	female	14.0	1	0	30.0708	C
Sandstrom, Miss. Marguerite Rut	11	1	3	female	4.0	1	1	16.7	S
Bonnell, Miss. Elizabeth	12	1	1	female	58.0	0	0	26.55	S
Saundercock, Mr. William Henry	13	0	3	male	20.0	0	0	8.05	S
Andersson, Mr. Anders Johan	14	0	3	male	39.0	1	5	31.275	S
Vestrom, Miss. Hulda Amanda Adolfina	15	0	3	female	14.0	0	0	7.8542	S
Hewlett, Mrs. (Mary D Kingcome) 	16	1	2	female	55.0	0	0	16.0	S
Rice, Master. Eugene	17	0	3	male	2.0	4	1	29.125	Q
Williams, Mr. Charles Eugene	18	1	2	male	29.69911764705882	0	0	13.0	S
Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)	19	0	3	female	31.0	1	0	18.0	S
Masselmani, Mrs. Fatima	20	1	3	female	29.69911764705882	0	0	7.225	C
Fynney, Mr. Joseph J	21	0	2	male	35.0	0	0	26.0	S
Beesley, Mr. Lawrence	22	1	2	male	34.0	0	0	13.0	S
"McGowan, Miss. Anna ""Annie"""	23	1	3	female	15.0	0	0	8.0292	Q
Sloper, Mr. William Thompson	24	1	1	male	28.0	0	0	35.5	S
Palsson, Miss. Torborg Danira	25	0	3	female	8.0	3	1	21.075	S
Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)	26	1	3	female	38.0	1	5	31.3875	S
Emir, Mr. Farred Chehab	27	0	3	male	29.69911764705882	0	0	7.225	C
Fortune, Mr. Charles Alexander	28	0	1	male	19.0	3	2	263.0	S
"O'Dwyer, Miss. Ellen ""Nellie"""	29	1	3	female	29.69911764705882	0	0	7.8792	Q
Todoroff, Mr. Lalio	30	0	3	male	29.69911764705882	0	0	7.8958	S
Uruchurtu, Don. Manuel E	31	0	1	male	40.0	0	0	27.7208	C
Spencer, Mrs. William Augustus (Marie Eugenie)	32	1	1	female	29.69911764705882	1	0	146.5208	C
